Month Name,Agency,Description,Borough,# of Incidents,Response Times
2025 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,13615,567.01
2025 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,11039,683.05
2025 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,10868,642.23
2025 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,9819,601.25
2025 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2398,550.99
2025 / 03,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,59,849.32
2025 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,601,515.47
2025 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,12750,610.72
2025 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,27322,824.15
2025 / 03,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,5683,50.66
2025 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,443,559.89
2025 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,9664,713.07
2025 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,23741,1002.71
2025 / 03,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,3444,28.57
2025 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,405,558.83
2025 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,9900,666.90
2025 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,21793,996.31
2025 / 03,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,4841,47.72
2025 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,509,553.39
2025 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,9014,650.15
2025 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,20147,823.69
2025 / 03,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,3185,40.57
2025 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,119,556.82
2025 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,2263,605.51
2025 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,4455,709.42
2025 / 03,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1141,50.04
2025 / 03,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,2,1139.00
2025 / 03,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,44,853.34
2025 / 03,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,135,1063.97
2025 / 03,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,17,35.29
2025 / 03,FDNY,Average response time to structural fires,Brooklyn,341,270.79
2025 / 03,FDNY,Average response time to non-structural fires,Brooklyn,223,353.49
2025 / 03,FDNY,Average response time to non-fire emergencies,Brooklyn,7874,591.76
2025 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,4006,532.50
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,564,60.11
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,564,38.12
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,564,1.42
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,564,0.35
2025 / 03,FDNY,Average response time to structural fires,Bronx,257,318.97
2025 / 03,FDNY,Average response time to non-structural fires,Bronx,122,403.43
2025 / 03,FDNY,Average response time to non-fire emergencies,Bronx,6071,699.35
2025 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,2471,643.13
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Bronx,379,37.73
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Bronx,379,59.63
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Bronx,379,2.64
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Bronx,379,0.00
2025 / 03,FDNY,Average response time to structural fires,Manhattan,244,301.41
2025 / 03,FDNY,Average response time to non-structural fires,Manhattan,164,383.27
2025 / 03,FDNY,Average response time to non-fire emergencies,Manhattan,5848,619.58
2025 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,2584,600.67
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Manhattan,408,39.95
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Manhattan,408,57.11
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Manhattan,408,2.94
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Manhattan,408,0.00
2025 / 03,FDNY,Average response time to structural fires,Queens,201,311.36
2025 / 03,FDNY,Average response time to non-structural fires,Queens,183,444.70
2025 / 03,FDNY,Average response time to non-fire emergencies,Queens,5422,637.59
2025 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,2886,555.97
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Queens,384,35.42
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Queens,384,59.64
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Queens,384,4.17
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Queens,384,0.78
2025 / 03,FDNY,Average response time to structural fires,Staten Island,44,313.91
2025 / 03,FDNY,Average response time to non-structural fires,Staten Island,44,337.80
2025 / 03,FDNY,Average response time to non-fire emergencies,Staten Island,1409,564.73
2025 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,802,494.92
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Staten Island,88,46.59
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Staten Island,88,52.27
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Staten Island,88,1.14
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Staten Island,88,0.00
2025 / 03,FDNY,Average response time to structural fires,Unspecified,1,3954.00
2025 / 03,FDNY,Average response time to non-fire emergencies,Unspecified,35,1117.20
2025 / 03,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,2,637.50
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Unspecified,1,0.00
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Unspecified,1,0.00
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Unspecified,1,0.00
2025 / 03,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Unspecified,1,100.00
2025 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,12644,591.59
2025 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,10562,819.40
2025 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,9758,681.85
2025 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,8944,628.68
2025 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,2115,556.48
2025 / 02,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,53,717.23
2025 / 02,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,575,514.12
2025 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,11928,640.39
2025 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,24916,917.55
2025 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,5438,47.11
2025 / 02,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,442,633.33
2025 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,9365,835.72
2025 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,21251,1396.82
2025 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,3212,25.75
2025 / 02,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,391,529.50
2025 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,8887,703.45
2025 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,19535,1118.38
2025 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,4546,46.22
2025 / 02,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,504,571.58
2025 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,8216,676.00
2025 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,18274,893.85
2025 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Queens,3251,37.28
2025 / 02,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,129,519.98
2025 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,2009,612.95
2025 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,3947,705.42
2025 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Staten Island,1066,47.19
2025 / 02,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,2,469.00
2025 / 02,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,40,769.75
2025 / 02,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,106,1123.64
2025 / 02,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Unspecified,14,21.43
2025 / 02,FDNY,Average response time to structural fires,Brooklyn,309,264.72
2025 / 02,FDNY,Average response time to non-structural fires,Brooklyn,549,360.83
2025 / 02,FDNY,Average response time to non-fire emergencies,Brooklyn,7349,572.10
2025 / 02,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,3757,536.29
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units less than 5 minutes,Brooklyn,858,51.28
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 5 and 10 minutes,Brooklyn,858,45.69
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units between 10 and 20 minutes,Brooklyn,858,2.56
2025 / 02,FDNY,Percentage of response time to structural and non-structural fires by fire units more than 20 minutes,Brooklyn,858,0.47
2025 / 02,FDNY,Average response time to structural fires,Bronx,258,691.46
2025 / 02,FDNY,Average response time to non-structural fires,Bronx,196,407.48
2025 / 02,FDNY,Average response time to non-fire emergencies,Bronx,5710,831.42
